;i;t;Pop
0;11;2012;1590011
1;11;2013;1728214
2;11;2014;1748531
3;11;2015;1768204
4;11;2016;1787279
5;11;2017;1805788
6;11;2018;1757589
7;11;2019;1777225
8;11;2020;1796460
9;11;2021;1815278
10;12;2012;758786
11;12;2013;776463
12;12;2014;790101
13;12;2015;803513
14;12;2016;816687
15;12;2017;829619
16;12;2018;869265
17;12;2019;881935
18;12;2020;894470
19;12;2021;906876
20;13;2012;3590985
21;13;2013;3807921
22;13;2014;3873743
23;13;2015;3938336
24;13;2016;4001667
25;13;2017;4063614
26;13;2018;4080611
27;13;2019;4144597
28;13;2020;4207714
29;13;2021;4269995
30;14;2012;469524
31;14;2013;488072
32;14;2014;496936
33;14;2015;505665
34;14;2016;514229
35;14;2017;522636
36;14;2018;576568
37;14;2019;605761
38;14;2020;631181
39;14;2021;652713
40;15;2012;7777543
41;15;2013;7969654
42;15;2014;8073924
43;15;2015;8175113
44;15;2016;8272724
45;15;2017;8366628
46;15;2018;8513497
47;15;2019;8602865
48;15;2020;8690745
49;15;2021;8777124
50;16;2012;698602
51;16;2013;734996
52;16;2014;750912
53;16;2015;766679
54;16;2016;782295
55;16;2017;797722
56;16;2018;829494
57;16;2019;845731
58;16;2020;861773
59;16;2021;877613
60;17;2012;1417694
61;17;2013;1478164
62;17;2014;1496880
63;17;2015;1515126
64;17;2016;1532902
65;17;2017;1550194
66;17;2018;1555229
67;17;2019;1572866
68;17;2020;1590248
69;17;2021;1607363
70;21;2012;6714314
71;21;2013;6794301
72;21;2014;6850884
73;21;2015;6904241
74;21;2016;6954036
75;21;2017;7000229
76;21;2018;7035055
77;21;2019;7075181
78;21;2020;7114598
79;21;2021;7153262
80;22;2012;3160748
81;22;2013;3184166
82;22;2014;3194718
83;22;2015;3204028
84;22;2016;3212180
85;22;2017;3219257
86;22;2018;3264531
87;22;2019;3273227
88;22;2020;3281480
89;22;2021;3289290
90;23;2012;8606005
91;23;2013;8778576
92;23;2014;8842791
93;23;2015;8904459
94;23;2016;8963663
95;23;2017;9020460
96;23;2018;9075649
97;23;2019;9132078
98;23;2020;9187103
99;23;2021;9240580
100;24;2012;3228198
101;24;2013;3373959
102;24;2014;3408510
103;24;2015;3442175
104;24;2016;3474998
105;24;2017;3507003
106;24;2018;3479010
107;24;2019;3506853
108;24;2020;3534165
109;24;2021;3560903
110;25;2012;3815171
111;25;2013;3914421
112;25;2014;3943885
113;25;2015;3972202
114;25;2016;3999415
115;25;2017;4025558
116;25;2018;3996496
117;25;2019;4018127
118;25;2020;4039277
119;25;2021;4059905
120;26;2012;8931028
121;26;2013;9208550
122;26;2014;9277727
123;26;2015;9345173
124;26;2016;9410336
125;26;2017;9473266
126;26;2018;9496294
127;26;2019;9557071
128;26;2020;9616621
129;26;2021;9674793
130;27;2012;3165472
131;27;2013;3300935
132;27;2014;3321730
133;27;2015;3340932
134;27;2016;3358963
135;27;2017;3375823
136;27;2018;3322820
137;27;2019;3337357
138;27;2020;3351543
139;27;2021;3365351
140;28;2012;2110867
141;28;2013;2195662
142;28;2014;2219574
143;28;2015;2242937
144;28;2016;2265779
145;28;2017;2288116
146;28;2018;2278308
147;28;2019;2298696
148;28;2020;2318822
149;28;2021;2338474
150;29;2012;14175341
151;29;2013;15044137
152;29;2014;15126371
153;29;2015;15203334
154;29;2016;15276566
155;29;2017;15344447
156;29;2018;14812617
157;29;2019;14873064
158;29;2020;14930634
159;29;2021;14985284
160;31;2012;19855332
161;31;2013;20593356
162;31;2014;20734097
163;31;2015;20869101
164;31;2016;20997560
165;31;2017;21119536
166;31;2018;21040662
167;31;2019;21168791
168;31;2020;21292666
169;31;2021;21411923
170;32;2012;3578067
171;32;2013;3839366
172;32;2014;3885049
173;32;2015;3929911
174;32;2016;3973697
175;32;2017;4016356
176;32;2018;3972388
177;32;2019;4018650
178;32;2020;4064052
179;32;2021;4108508
180;33;2012;16231365
181;33;2013;16369179
182;33;2014;16461173
183;33;2015;16550024
184;33;2016;16635996
185;33;2017;16718956
186;33;2018;17159960
187;33;2019;17264943
188;33;2020;17366189
189;33;2021;17463349
190;35;2012;41901219
191;35;2013;43663669
192;35;2014;44035304
193;35;2015;44396484
194;35;2016;44749699
195;35;2017;45094866
196;35;2018;45538936
197;35;2019;45919049
198;35;2020;46289333
199;35;2021;46649132
200;41;2012;10577755
201;41;2013;10997465
202;41;2014;11081692
203;41;2015;11163018
204;41;2016;11242720
205;41;2017;11320892
206;41;2018;11348937
207;41;2019;11433957
208;41;2020;11516840
209;41;2021;11597484
210;42;2012;6362734
211;42;2013;6634254
212;42;2014;6727148
213;42;2015;6819190
214;42;2016;6910553
215;42;2017;7001161
216;42;2018;7075494
217;42;2019;7164788
218;42;2020;7252502
219;42;2021;7338473
220;43;2012;10768025
221;43;2013;11164043
222;43;2014;11207274
223;43;2015;11247972
224;43;2016;11286500
225;43;2017;11322895
226;43;2018;11329605
227;43;2019;11377239
228;43;2020;11422973
229;43;2021;11466630
230;50;2012;2500365
231;50;2013;2587269
232;50;2014;2619657
233;50;2015;2651235
234;50;2016;2682386
235;50;2017;2713147
236;50;2018;2748023
237;50;2019;2778986
238;50;2020;2809394
239;50;2021;2839188
240;51;2012;3115336
241;51;2013;3182113
242;51;2014;3224357
243;51;2015;3265486
244;51;2016;3305531
245;51;2017;3344544
246;51;2018;3441998
247;51;2019;3484466
248;51;2020;3526220
249;51;2021;3567234
250;52;2012;6154996
251;52;2013;6434048
252;52;2014;6523222
253;52;2015;6610681
254;52;2016;6695855
255;52;2017;6778772
256;52;2018;6921161
257;52;2019;7018354
258;52;2020;7113540
259;52;2021;7206589
260;53;2012;2648532
261;53;2013;2789761
262;53;2014;2852372
263;53;2015;2914830
264;53;2016;2977216
265;53;2017;3039444
266;53;2018;2974703
267;53;2019;3015268
268;53;2020;3055149
269;53;2021;3094325
